type,alcool,sulphites,pH,densite,chlorure,sucre_residuel,acide_citrique,acidite_volatile,acidite_non_volatile,dioxyde_souffre_total,dioxyde_souffre_libre,qualite
NA,10,0.53,3.36,0.99814,0.081,2.4,0.05,0.82,9,96,26,5
NA,10.3,0.46,3.24,NA,0.05,2.3,0.18,0.24,5.4,145,22,5
NA,9.8,1.98,2.93,0.9972,0.11,2,0.29,0.49,8.6,133,19,5
NA,12.6,0.37,3.31,0.9915,0.022,4.6,0.4,0.39,6.9,19,5,3
NA,NA,0.65,3.52,0.9982,0.082,2.3,0.31,0.39,7.6,71,23,5
NA,11.4,0.53,3.44,0.9914,0.033,1.6,0.4,0.16,6.3,148,59,5
NA,11.5,0.27,3.2,0.9932,0.036,6.6,0.49,0.19,6.9,172,49,6
NA,9.7,0.6,3.35,0.99636,0.114,1.9,0,0.69,7,10,3,6
NA,9.3,0.65,3.29,NA,0.077,1.7,0.23,0.33,7.9,45,18,5
NA,NA,0.56,3.31,0.99711,0.06,10.4,0.45,0.36,6.2,184,22,6
NA,13,0.37,3.22,NA,0.056,2.6,0.08,0.6,8,7,3,5
NA,NA,0.7,3.26,0.9974,0.076,1.4,0.37,0.26,8.3,23,8,6
NA,10.8,0.59,3.41,0.9962,0.06,6,0.06,0.59,6.8,18,11,7
NA,10.6,0.39,3.24,0.99366,0.042,NA,0.34,0.52,8.2,167,18,5
NA,9.5,0.39,3.24,0.9958,0.049,NA,0.3,0.28,6.6,202,57,5
NA,8.8,0.32,3.09,0.9963,0.045,8.4,0.31,0.24,7.4,183,52,5
NA,12.4,0.62,3.26,NA,0.093,2.1,0.48,0.28,8.3,12,6,7
NA,10.9,0.39,3.1,0.9914,0.032,1.9,0.28,0.24,7.2,92,30,6
NA,10.7,0.42,3.24,0.99244,0.05,1.4,0.35,0.32,7.3,163,8,5
blanc,10.6,0.46,3.63,0.9951,0.043,6.7,0.3,0.16,6,153,43,5
NA,10.8,0.43,3.25,0.9938,0.04,1,0.56,0.445,7.8,84,8,5
NA,10.5,0.77,3.38,0.9991,0.087,5.6,0.32,0.4,8.9,47,10,7
NA,10.4,0.38,3.17,NA,0.121,8.1,0.24,0.17,7.3,162,32,8
NA,8.8,0.47,3.12,0.99975,0.044,13.4,0.32,0.23,8.7,169,35,7
rouge,9.5,0.59,3.12,0.99698,0.074,NA,0.39,0.24,8.9,10,3,6
blanc,11.4,0.3,2.95,0.98993,0.023,1.25,0.28,0.27,7.1,89,3,4
NA,11,0.48,3.26,0.99111,0.036,1.2,0.32,0.16,5.7,89,7,5
NA,NA,0.57,3.3,0.9924,0.044,2.8,0.56,0.3,6.1,179,47,7
NA,9.9,0.74,3.04,0.9926,0.041,1.3,0.26,0.18,7.1,71,20,6
NA,NA,0.36,3.2,0.98931,0.019,0.9,0.3,0.2,7.1,28,4,6
NA,12.4,0.6,3.29,0.99037,0.036,2.9,0.3,0.29,6.4,79,25,7
blanc,13.2,0.59,2.82,0.98963,0.015,5.7,0.25,0.36,7,73,14,6
NA,10.5,0.37,3.19,0.9938,0.031,7.7,0.35,0.24,6.6,135,36,5
NA,11.5,0.38,3.2,0.9902,0.034,2.6,0.3,0.26,5.8,129,75,4
NA,8.6,0.49,3.08,0.9976,0.041,10.8,0.62,0.4,7.2,189,70,4
NA,9.8,0.5,3.09,0.99438,0.087,1.6,0.37,0.3,7.6,177,27,5
NA,10.4,0.42,3.1,0.992,0.054,NA,0.2,0.46,6.9,126,5,6
blanc,10.1,0.37,2.79,0.993,0.024,1,0.31,0.17,8.5,91,13,5
NA,11.1,0.44,3.23,0.99091,0.057,1.4,0.25,0.16,6.4,125,21,7
NA,12.7,0.39,3.28,NA,0.027,3.9,0.33,0.37,6.5,130,40,7
rouge,10.4,0.67,3.36,NA,0.09,1.9,0.52,0.21,8.5,23,9,5
NA,9.4,0.43,3,0.9984,0.051,17.3,0.26,0.18,6.6,149,17,6
NA,9.4,0.6,3.19,0.99656,0.058,11.2,0.49,0.3,6.2,215,68,6
blanc,10.7,0.62,3.39,0.9951,0.037,6.7,0.33,0.28,7.7,155,32,7
NA,9.5,0.38,3.22,0.994,0.051,NA,0.16,0.32,6.9,96,15,4
NA,9.3,0.47,3.36,0.99478,0.039,5.1,0.26,0.13,5.8,103,19,6
NA,12.3,0.26,3.25,0.99234,0.031,9,0.32,0.24,6.1,134,41,7
rouge,11,0.69,3.51,NA,0.077,2.5,0.39,0.44,6.2,14,6,6
NA,11.6,0.5,3.54,NA,0.022,6.3,0.4,0.35,5.6,174,23,7
blanc,10,0.7,3.72,0.9964,0.053,NA,0.28,0.21,5.9,199,40,4
NA,11.6,0.74,3.06,NA,0.036,1.2,0.34,0.22,6.3,96,32,6
NA,11.1,0.72,3.43,NA,0.084,2.8,0.09,0.72,8.1,49,18,6
NA,10.6,0.6,3.77,0.99362,0.044,1.3,0.24,0.19,5.8,128,38,5
blanc,10.8,0.28,2.97,NA,0.03,1.1,0.07,0.45,6.4,131,10,5
NA,13.7,0.33,3.41,NA,0.03,3.1,0.29,0.17,5.9,123,32,7
NA,11,0.5,3.11,0.99318,0.055,6.4,0.36,0.17,7,123,42,8
rouge,10.2,0.62,3.52,NA,0.083,2.2,0.12,0.6,7,28,13,7
NA,NA,0.55,3.14,0.99878,0.111,5.8,0.19,0.74,9.9,76,33,5
NA,9.3,0.36,3.03,NA,0.157,5,0.27,0.495,6,129,17,5
NA,9.3,0.46,3.15,0.9953,0.04,NA,0.4,0.31,6.4,169,46,6
NA,12.6,0.59,3.3,NA,0.029,2,0.15,0.37,7.2,87,27,7
NA,NA,0.52,3.21,0.99092,0.034,1.3,0.28,0.18,5.8,94,9,6
NA,10.4,0.49,3.03,0.99152,0.034,NA,0.3,0.17,6.4,125,33,6
NA,NA,0.56,3.25,0.9974,0.074,2.2,0.35,0.55,7.8,66,21,5
blanc,NA,0.55,3.1,0.99468,0.046,9,0.28,0.22,7.4,121,22,5
NA,NA,0.57,3.14,0.9994,0.075,2.8,0.49,0.6,12.7,19,5,5
NA,10.3,0.82,3.07,0.9992,0.08,2.5,0.49,0.39,12.6,20,8,6
NA,9.4,0.42,3.3,NA,0.052,1.2,0.25,0.19,6.6,181,34,7
NA,NA,0.46,3.33,0.9966,0.047,8.2,0.3,0.22,7.3,207,42,6
NA,9,0.48,2.95,0.99778,0.038,12.3,0.8,0.21,7.4,183,77,5
rouge,10.8,0.67,3.16,0.99728000000000006,0.11,2.2,0.43,0.41,10.2,37,11,5
rouge,9.5,0.65,3.41,0.9969,0.08,1.7,0.3,0.4,7.3,79,33,6
NA,10.4,0.56,3.35,0.99695,0.042,13.8,0.33,0.23,6.5,139,25,6
NA,11.4,0.42,3.49,0.9923,0.037,2.3,0.4,0.16,6.8,102,18,7
NA,9.9,0.7,3.5,0.9977,0.078,1.8,0.16,0.68,7.4,39,12,6
NA,10.6,0.51,3.46,NA,0.042,2.7,0.14,0.46,5.9,160,27,7
NA,9.4,0.45,3.12,0.9927,0.053,1,0.21,0.33,6.9,148,39,6
NA,12.1,0.33,3.36,0.9894,0.036,1.4,0.04,0.44,5.2,119,43,8
NA,NA,0.76,3.25,0.99922,0.045,15.7,0.36,0.21,7.2,183,68,5
NA,10.8,0.44,3.46,0.9941,0.044,2.6,0.39,0.2,7.6,180,30,7
NA,12.4,0.36,3.28,0.98895,0.029,1.2,0.38,0.29,5.4,132,31,6
NA,NA,0.52,3.25,0.98906,0.024,4.5,0.32,0.31,5.8,94,28,7
NA,10.7,0.46,3.29,0.99215,0.042,1.4,0.33,0.27,6.6,183,24,5
blanc,9.8,0.46,3.12,0.9927,0.152,1.5,0.71,0.19,6,55,9,6
NA,9.2,0.42,3.04,0.9969,0.044,NA,0.29,0.26,7.1,240,62,6
NA,NA,0.32,3.41,0.9934,0.039,1.1,0.24,0.62,6.7,62,6,5
NA,9.6,0.46,3.26,0.99678,0.078,2.2,0.22,0.53,8.1,89,33,6
NA,10.2,0.39,3.17,0.99545,0.054,9.8,0.24,0.225,5.6,140,59,6
NA,8.8,0.35,2.94,0.9986,0.037,NA,0.46,0.26,7,171,61,6
blanc,12,0.38,3.06,0.9935,0.036,NA,0.39,0.28,7.7,117,8,7
NA,9.8,0.39,3.19,NA,0.046,1.6,0.24,0.24,6.5,60,15,5
NA,10,0.31,3.29,0.99512,0.034,NA,0.32,0.15,6.7,81,17,6
NA,12,0.61,2.96,0.989435,0.033,NA,0.31,0.2,6.5,95,32,6
NA,11.3,0.43,3.12,0.9948,0.031,11.2,0.24,0.44,7.7,167,41,7
NA,9.7,0.56,3.21,0.9956,0.044,NA,0.24,0.47,7.1,77,11,5
blanc,9.3,0.54,3.26,0.9975,0.048,NA,0.44,0.52,6.6,245,54,6
blanc,10.6,0.62,3.29,0.99332,0.04,NA,0.37,0.21,5.7,140,58,6
NA,9.2,0.56,3.35,NA,0.074,1.8,0.1,0.91,7.3,56,20,5
blanc,11.8,0.43,3.27,0.9908,0.028,2.8,0.42,0.17,6.3,107,45,6
NA,NA,0.5,2.92,0.99288,0.174,1.4,0.86,0.34,7.1,99,36,5
NA,9.6,0.5,3.14,0.99514,0.05,7.9,0.26,0.32,6.4,180,53,5
NA,10.3,0.68,3.6,0.99528,0.077,1.9,0.08,0.53,6.1,45,24,6
rouge,NA,0.59,3.42,0.99685,0.073,1.8,0.3,0.38,7.2,70,31,6
NA,9.8,0.59,3.55,NA,0.077,2.5,0.01,0.59,7.1,85,20,5
blanc,9.4,0.52,3.14,0.99655,0.044,NA,0.18,0.21,6.2,155,61,6
NA,12.8,0.45,3.14,0.99155,0.04,NA,0.34,0.42,7.5,108,34,8
rouge,NA,0.47,3.3,0.99562,0.068,2.6,0.1,0.49,7.3,14,4,5
blanc,NA,0.7,3.2,0.99134,0.022,7.7,0.45,0.32,6.5,97,31,7
NA,NA,0.63,3.13,0.9969,0.075,1.4,0.49,0.45,12.2,6,3,5
blanc,NA,0.46,3.07,0.9906,0.031,1.7,0.49,0.32,7.5,109,44,6
NA,11.4,0.42,3.4,0.9936,0.028,NA,0.3,0.35,7,87,27,7
blanc,NA,0.52,3.29,0.9922,0.04,1.4,0.13,0.415,5.8,64,11,5
NA,12.2,0.84,3.17,0.9992,0.128,3.4,0.53,0.695,11.9,21,7,7
NA,NA,0.61,3.27,0.9976,0.076,3.4,0.24,0.54,8.3,112,16,5
rouge,9.8,0.58,3.45,0.99627,0.123,1.8,0,0.72,7.1,14,6,5
NA,10.1,0.51,3.14,0.9938,0.044,3.5,0.49,0.19,8.5,117,29,6
rouge,10,0.65,3.3,0.99728000000000006,0.062,NA,0.32,0.48,7.3,54,31,7
NA,10.6,0.42,3.06,1.00295,0.031,NA,0.28,0.45,6.8,122,27,6
NA,13.1,0.32,3.32,0.98774,0.034,NA,0.34,0.24,5,158,49,7
blanc,12.6,0.44,3.36,0.9898,0.034,NA,0.22,0.28,6.1,116,32,6
blanc,10.9,0.5,3.18,NA,0.041,2.6,0.37,0.19,6.1,99,24,6
NA,12,0.53,3.09,0.9912,0.038,NA,0.35,0.3,6.8,164,10,6
NA,9,0.48,3.11,0.99827,0.056,15.7,0.21,0.3,6.9,159,49,5
NA,NA,0.48,3.12,0.99,0.027,2.2,0.73,0.29,6.6,92,21,6
blanc,9.3,0.4,3.18,0.99347,0.069,3.4,0.26,0.68,6.4,146,25,5
NA,9.8,0.75,3.3,NA,0.118,1.8,0.47,0.39,10.9,14,6,6
NA,9.1,0.64,3.27,NA,0.062,17.95,0.31,0.35,7.4,187,42,5
NA,9.6,0.81,3.32,NA,0.074,1.4,0.07,0.52,7.2,20,5,6
NA,11.2,0.46,3.16,NA,0.045,1.2,0.34,0.24,7.1,132,6,4
NA,8.5,0.44,3.01,NA,0.06,20.15,0.49,0.28,7.6,145,30,5
NA,9.6,0.79,3.3,NA,0.04,12.7,0.36,0.28,7.3,140,38,6
NA,NA,0.53,3.14,0.9902,0.023,3.4,0.37,0.32,6.8,87,19,6
NA,NA,0.46,3.07,0.9982,0.046,12,0.61,0.27,7.7,179,64,5
blanc,10.2,0.41,3.8,0.9934,0.046,1.2,0.32,0.27,5.7,155,20,6
blanc,9.5,0.72,3.34,0.9941,0.041,1.4,0.26,0.18,6.5,141,40,6
rouge,9.8,0.6,3.29,0.9982,0.085,2.9,0.49,0.47,8.8,110,17,5
NA,8.8,0.56,3.04,NA,0.047,16.3,0.54,0.34,6.7,181,44,5
NA,NA,0.28,3.05,0.99,0.036,1.2,0.49,0.21,7.8,99,20,7
NA,9.4,0.5,3.27,NA,0.036,8.9,0.14,0.36,6.2,155,38,5
NA,9.2,0.51,2.97,0.99324,0.167,1.6,0.72,0.21,7.1,120,65,5
NA,13.5,0.36,3.32,0.99246,0.013,1.1,0.12,0.65,4.8,10,4,4
NA,12.5,0.39,2.95,0.99138,0.076,5.2,0.29,0.34,8.2,92,19,6
NA,10,0.32,3.26,0.9932,0.047,1.4,0.17,0.52,6.5,26,5,4
NA,10.2,0.43,3.2,0.9924,0.056,NA,0.27,0.17,6.1,135,45,6
NA,NA,0.34,3.14,0.9954,0.03,5.4,0.45,0.61,8.2,118,15,5
blanc,NA,0.44,2.98,0.99066,0.045,1.3,0.33,0.27,8.1,100,26,6
blanc,10.4,0.41,3.04,0.9974,0.043,10.5,0.34,0.27,9.2,228,49,6
NA,11.4,0.41,2.98,0.9931,0.027,8.8,0.26,0.22,7.4,112,23,6
NA,9,0.47,3.41,NA,0.093,10,0.24,0.51,7.2,197,35,5
NA,9.8,0.59,3.38,0.9964,0.082,2,0,0.645,7.8,16,8,6
blanc,10.4,0.56,3.03,0.99522,0.042,NA,0.28,0.28,6.9,139,52,6
NA,NA,0.62,3.48,0.9987,0.075,2,0.2,0.56,7.7,39,9,5
NA,NA,0.54,3.12,0.9906,0.066,1.5,0.46,0.3,7.1,133,29,6
rouge,NA,0.62,3.28,0.9963,0.088,2,0.35,0.685,7.1,92,9,5
NA,10.6,0.57,3.46,NA,0.105,2.5,0,0.685,6.9,37,22,6
NA,9.4,0.65,2.98,0.9982,0.046,12.2,0.71,0.35,8.4,160,22,5
NA,9.7,0.53,3.55,0.99744,0.082,2.3,0.02,0.59,7.1,94,24,6
rouge,10.2,0.48,3.3,0.99612,0.078,NA,0.25,0.52,8,59,19,5
NA,8.9,0.46,3.17,0.99814,0.046,NA,0.59,0.26,7.5,164,58,4
blanc,10.6,0.64,3.17,NA,0.049,2.3,0.48,0.29,7.7,178,36,6
blanc,12,0.44,3.18,NA,0.02,7.4,0.34,0.39,6.8,133,38,7
NA,9.8,0.68,3.17,1.001,0.088,2.6,0.66,0.38,12.6,41,10,6
rouge,10.4,0.64,3.32,1.0026,0.11,5.1,0.37,0.65,10.1,65,11,6
NA,10.5,0.37,3.52,0.9951,0.044,5.7,0.26,0.12,6.2,158,56,6
NA,NA,0.56,3.02,1.00014,0.045,17.5,0.27,0.28,8.3,253,48,6
NA,10.2,0.52,3.15,0.994,0.051,6,0.23,0.28,6.4,162,50,5
NA,12,0.45,3.24,0.99022,0.037,1.4,0.52,0.68,6.1,123,32,6
NA,9.2,0.52,3.11,0.99627,0.052,8.3,0.34,0.38,7.4,168,44,5
NA,10.3,0.61,3.16,1.0004,0.098,NA,0.49,0.38,11.9,42,12,5
NA,12,0.81,3.32,0.99253,0.032,4.9,0.34,0.35,6.6,125,9,5
NA,12.3,0.32,3.13,0.99172,0.032,6.7,0.28,0.24,6.6,91,26,6
NA,11.4,0.41,3.4,0.99033,0.043,1,0.28,0.2,5.9,100,45,6
NA,10.9,0.52,3.05,0.99176,0.057,2,0.39,0.21,7.9,138,21,5
blanc,9,0.45,3.13,0.9983,0.06,14.9,0.2,0.34,6.4,162,37,4
NA,9.5,0.58,3.01,0.99692,0.105,8.9,0.23,0.34,7.2,155,22,5
NA,9.7,0.42,3.42,0.99802,0.053,12.6,0.26,0.24,6.7,182,44,5
NA,11.2,0.55,3.17,0.99296,0.041,5.8,0.32,0.22,6.9,119,20,6
NA,11.6,0.74,3.48,NA,0.086,3,0.31,0.69,8.7,81,23,6
NA,8.9,0.45,3.13,NA,0.048,14.9,0.16,0.37,7.3,240,59,5
blanc,12.8933333333333,0.44,3.12,0.9901,0.035,5.4,0.24,0.41,6.7,115,33,7
NA,12.2,0.41,3.18,0.9935,0.034,7.7,0.33,0.4,8,98,27,7
blanc,12.5,0.51,3.53,0.9918,0.032,8.3,0.14,0.55,5,164,35,8
NA,NA,0.57,3.09,0.9974,0.077,2.4,0.24,0.63,9.9,33,6,5
NA,9.7,0.57,3.34,NA,0.044,7.1,0.07,0.585,5.3,145,34,6
NA,9.5,0.4,3.36,NA,0.046,12.3,0.33,0.24,6.7,145,31,5
NA,10.5,0.57,2.9,0.99173,0.041,3.7,0.32,0.19,6.7,76,26,7
NA,13.3,0.53,3.3,0.99252,0.065,2.1,0.12,0.39,7.1,24,14,6
NA,12.1,0.34,3.22,0.9901,0.03,NA,0.25,0.33,7.1,126,25,7
NA,10.9,0.52,3.05,0.99176,0.057,NA,0.39,0.21,7.9,138,21,5
NA,NA,0.62,3.32,0.99045,0.048,1.2,0.3,0.33,5.3,119,25,6
NA,12.2,0.46,3.11,0.98972,0.042,1.5,0.4,0.15,6.4,87,23,7
blanc,12.4,0.38,3.29,0.98918,0.02,1.5,0,0.58,5.8,96,33,6
rouge,NA,0.49,3.38,0.99322,0.058,1.75,0.2,0.58,6.9,22,8,5
NA,8.7,0.44,2.9,0.99825,0.056,13.7,0.3,0.16,7.4,168,33,7
blanc,10.1,0.55,3.38,0.9966,0.054,7.1,0.26,0.16,7.2,224,41,5
NA,NA,0.61,3.14,0.99132,0.028,1.2,0.37,0.2,7.4,89,28,6
NA,10.4,0.58,3.02,0.99544,0.052,11.9,0.29,0.28,6.8,149,51,6
NA,NA,0.82,3.4,0.99438,0.074,1.8,0.22,0.56,6.8,24,15,6
NA,10.9,0.44,3.36,0.9955,0.047,2,0.2,0.96,7.7,60,15,5
NA,NA,0.49,3.21,0.99702,0.071,6.2,0.45,0.41,10,14,6,7
NA,10.5,0.56,3.22,NA,0.033,8.5,0.34,0.21,7,253,31,6
NA,8.7,0.43,3.02,0.9977,0.039,10.7,0.74,0.31,7.4,147,51,5
rouge,9.4,0.51,3.15,NA,0.091,2.6,0.23,0.46,9.2,77,18,5
blanc,10.1,0.51,3.42,NA,0.046,1.6,0.3,0.25,6.6,134,32,7
NA,9.5,0.54,3.51,0.99746,0.077,2.7,0.06,0.62,7.2,85,15,5
rouge,11.1,0.74,2.92,NA,0.095,4.2,0.49,0.645,15.5,23,10,5
NA,11.5,0.62,3.62,0.99557,0.096,2.2,0,0.58,6.5,13,3,4
NA,12.5,0.71,3.36,0.9916,0.034,4.9,0.27,0.32,6.4,122,18,6
blanc,9.2,0.42,3.15,NA,0.046,17.3,0.25,0.23,6.5,110,15,6
NA,9.7,0.47,2.88,0.99578,0.084,NA,0.11,0.69,10,24,8,5
NA,9.2,0.63,3.18,0.9991,0.045,14.3,0.42,0.3,7.7,213,45,5
blanc,NA,0.38,3.16,0.995,0.049,9.8,0.25,0.16,6.6,137,59.5,6
NA,NA,0.47,3.27,0.99179,0.042,2.8,0.34,0.31,6.1,162,59.5,6
NA,NA,0.68,3.58,0.9978,0.046,11.9,0.74,0.18,6.4,168,54,5
NA,9.2,0.46,3.22,0.9938,0.064,NA,0.27,0.22,6.2,132,20,6
NA,9.7,0.55,3.28,NA,0.071,2.2,0.21,0.55,7.6,28,7,5
rouge,9.5,0.5,3.21,0.9982,0.083,NA,0.41,0.35,9.9,61,11,5
blanc,11.8,0.44,3.34,NA,0.039,2.3,0.35,0.24,6.3,109,43,6
NA,8.9,0.69,3.28,0.9955,0.051,1.7,0.22,0.32,7.4,179,50,5
NA,9.6,0.58,3.08,0.9967,0.036,10,0.49,0.23,7.6,182,45,6
NA,9.2,0.48,3.42,0.9971,0.082,6.4,0.18,0.34,6.6,240,47,5
NA,9.5,0.53,3.24,0.99674,0.042,10.6,0.42,0.29,6.5,202,66,6
NA,10,0.36,2.96,0.9935,0.039,1.6,0.35,0.16,8.5,147,24,5
NA,10.9,0.55,3.13,NA,0.028,7.2,0.32,0.22,6.4,83,15,8
NA,9.9,0.76,3.02,0.99735,0.095,NA,0.54,0.41,11.6,41,22,7
NA,10,0.41,3.18,0.992,0.04,1.3,0.12,0.27,6.8,168,87,5
NA,12.8,0.7,3.33,0.99356,0.052,2.4,0.4,0.28,8.2,10,4,7
blanc,11.4,0.38,3.15,NA,0.026,2.4,0.37,0.21,7.1,100,23,7
NA,10.6,1.16,3.42,0.99572,0.076,NA,0.43,0.41,6.7,54,22,6
NA,10.9,0.5,3.23,NA,0.051,1.9,0.27,0.26,7.8,195,52,6
NA,12.8,0.37,3.24,0.98939,0.027,NA,0.37,0.18,6.7,125,42,7
NA,9.4,0.64,3.32,0.9946,0.05,1.5,0.68,0.19,7.3,156,31,6
rouge,10.2,0.87,2.99,0.9988,0.071,2,0.63,0.46,12.5,15,6,5
blanc,10,0.66,3.09,NA,0.047,2,0.42,0.19,9.2,104,16,4
NA,NA,0.38,3.31,0.9937,0.042,1.3,0,0.6,6.1,79,24,4
NA,9.6,0.82,3.28,0.9984,0.094,2.5,0.54,0.32,9.7,83,28,5
blanc,12.7,0.39,3.16,0.99,0.032,NA,0.34,0.2,7.2,151,49,7
NA,8.9,0.53,3.06,0.998,0.053,NA,0.31,0.18,7.8,140,46,6
NA,12.1,0.48,2.99,0.9911,0.028,NA,0.34,0.27,7.7,168,26,7
blanc,10.4,0.77,3.08,0.9928,0.046,NA,0.22,0.3,7.4,135,16,7
blanc,9.2,0.48,2.94,0.9993,0.301,12.1,0.38,0.61,8,220,24,5
NA,NA,0.41,3.08,0.99672,0.11,10.7,0.27,0.41,6.6,103,20,6
blanc,11.3,0.45,3.18,NA,0.036,1.5,0.48,0.23,6.8,165,35,6
NA,13.2,0.34,3.23,0.98884,0.031,1.1,0.36,0.16,6.6,93,27,8
NA,11,0.38,3.07,0.9976,0.04,19.8,0.34,0.45,7,67,12,6
blanc,11.2,0.37,3.18,0.99356,0.028,10.8,0.29,0.27,6.4,118,17,6
NA,NA,0.56,3.06,0.99244,0.175,1.5,0.67,0.37,6.8,98,16,6
NA,9.5,0.82,3.42,NA,0.068,1.9,0.08,0.62,6.8,38,28,6
NA,10.8,0.35,3.26,0.99526,0.046,12.7,0.26,0.2,6.3,143,60,6
rouge,NA,0.8,3.18,0.99516,0.055,2.3,0.27,0.47,8.6,28,14,5
rouge,9.8,0.58,3.2,0.9952,0.07,1.2,0.02,0.82,8.7,48,36,5
NA,12.2,0.46,3.29,0.98944,0.048,2.3,0.3,0.3,5.1,150,40,6
NA,NA,0.67,3.3,0.99954,0.036,16,0.3,0.29,7.1,201,58,5
rouge,10.9,0.39,3.41,NA,0.086,4.65,0.05,0.725,7.2,11,4,5
NA,13.1,0.64,2.98,0.989,0.026,4.3,0.28,0.28,6.2,105,22,8
NA,10,0.48,3.14,0.9964,0.046,9.4,0.49,0.3,8,188,47,5
NA,10.4,0.42,3.4,NA,0.035,8.5,0.28,0.25,6.2,108,28,6
NA,9.8,0.54,3.16,0.99458,0.069,NA,0.21,0.57,7.7,9,4,6
NA,9,0.52,3,0.99808,0.062,NA,0.3,0.18,6.8,171,19,7
NA,NA,0.75,3.24,0.997,0.116,2.95,0.66,0.42,10.5,29,12,7
NA,12.2,0.6,3.2,0.9943,0.068,NA,0.43,0.4,9,46,29,6
NA,12.6,0.44,3.08,0.9896,0.034,NA,0.18,0.46,6.7,98,25,7
rouge,12.6,0.75,3.27,0.99486,0.068,2.2,0.4,0.38,8.9,28,12,7
NA,9.4,0.61,3.07,NA,0.046,9.4,0.31,0.48,7.6,194,6,5
NA,9,0.48,3.37,0.9956,0.072,1.6,0.03,0.55,7.3,42,17,4
NA,12,0.37,3.24,0.98953,0.048,NA,0.31,0.21,5.2,61,17,7
NA,12.8,0.54,3.04,0.98902,0.022,NA,0.29,0.19,6.3,96,33,7
NA,11.9,0.52,3,0.98939,0.034,NA,0.28,0.17,6.6,108,55,7
NA,9,0.39,3.43,0.9956,0.059,NA,0.33,0.15,6.8,118,31,7
NA,8.9,0.42,2.89,0.9979,0.066,14,0.42,0.24,7.4,198,48,6
NA,8.9,0.46,3.14,0.999,0.056,14.2,0.3,0.2,7.6,212.5,53,8
blanc,9.8,0.44,3.32,0.9931,0.05,1.4,0.49,0.27,6.2,74,20,6
NA,9.4,0.45,3.29,0.99632,0.071,2.35,0,0.715,7.1,47,21,5
NA,8.5,0.76,3.24,NA,0.042,12.6,0.46,0.18,7.8,143,41,8
NA,NA,0.58,3.27,0.99817,0.08,6.4,0.65,0.37,8.6,8,3,5
blanc,9.2,0.42,3.21,0.9956,0.045,7.8,0.74,0.25,6.4,209,52,6
NA,9.7,0.38,3.06,0.99418,0.05,NA,0.21,0.74,8,133,24,5
NA,9.4,0.5,3.21,0.9934,0.052,1.6,0.29,0.24,6.3,185,48,5
NA,9.3,0.61,3.21,0.9964,0.111,2.3,0.23,0.685,7.6,84,20,5
blanc,11.1,0.25,3.09,0.99312,0.036,6.3,0.13,0.75,6.9,50,19,4
NA,9.4,0.54,3.41,0.9962,0.074,2.4,0.31,0.39,7.3,46,9,6
blanc,9.4,0.62,3.33,0.9946,0.046,NA,0.65,0.18,7.3,157,28,6
NA,10.1,0.34,3.16,NA,0.045,6.6,0.19,0.27,6.5,175,98,6
NA,9.8,0.42,3.21,0.992,0.034,1,0.49,0.17,6,106,26,6
NA,12.4,0.86,3.3,0.99585,0.039,NA,0.6,0.53,9.7,19,5,6
NA,11,0.42,3.15,NA,0.049,6.8,0.26,0.2,6,93,22,6
rouge,NA,0.65,3.46,0.99352,0.044,2.5,0.23,0.58,6.1,70,16,6
NA,9.5,0.62,3.46,NA,0.079,1.7,0.31,0.36,7.6,65,26,6
NA,10.3,0.47,3.19,0.99304,0.042,5.5,0.29,0.19,6.3,189,44,6
NA,9.3,0.51,3.1,1.00098,0.063,16.45,0.56,0.23,9.4,282,52.5,5
NA,10.7,0.54,3.63,0.9966,0.097,4.25,0,1.185,7.4,14,5,3
NA,NA,0.35,3.21,0.9928,0.039,6.2,0.39,0.46,7,163,46,7
NA,12.4,0.94,3.23,0.98946,0.045,1.6,0.32,0.21,5.8,95,38,8
blanc,9.2,0.47,3.01,NA,0.056,13.3,0.5,0.31,7.2,195,68,5
NA,10.1,0.34,2.89,0.9948,0.042,NA,0.23,0.71,9.2,93,15,6
blanc,12.8,0.53,3.26,0.99015,0.032,NA,0.22,0.44,6.7,99,19,7
NA,8.7,0.75,3.34,NA,0.084,2.6,0.49,0.42,8.2,55,32,6
rouge,9.4,1.06,3.04,0.9986,0.152,2.2,0.6,0.36,10.6,18,7,5
NA,NA,0.43,2.95,0.9931,0.154,1.1,1,0.21,7.2,114,46,6
NA,9.2,0.5,3.05,0.9997,0.056,NA,0.3,0.24,8,184,43,6
NA,11.4,0.33,3.32,0.9908,0.056,NA,0.21,0.12,5.8,121,35,6
NA,9.8,0.45,3.14,0.9981,0.053,14,0.28,0.22,8,197,83,6
NA,9.9,0.58,3.11,NA,0.044,12.3,0.26,0.32,6.3,205,24,5
NA,9,0.6,3.34,NA,0.034,16,0.27,0.32,6.9,185,58,6
NA,9.5,0.62,3.21,0.9946,0.049,1.5,0.26,0.14,8.3,189,56,6
blanc,12.4,0.31,3.14,0.9897,0.031,5.1,0.36,0.31,5.2,145,46,7
blanc,NA,0.74,3.12,0.9953,0.049,9.1,0.42,0.21,6.7,150,31,7
NA,9.6,0.42,3.34,1,0.049,17.85,0.4,0.24,7.2,185,50,5
NA,9.4,0.5,3.37,0.997,0.082,2,0.12,0.56,7.8,28,7,6
NA,10.4,0.49,3.03,NA,0.034,2.8,0.3,0.17,6.4,125,33,6
